,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
14,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,163,FailedAttackResult,bae_garg_2019,,,,,,,,
20,Deltex has no known interactions with eIF3f.,Deltex has no known interactions with eIF3f.,64,FailedAttackResult,bae_garg_2019,,,,,,,,
22,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,289,FailedAttackResult,bae_garg_2019,,,,,,,,
41,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,293,FailedAttackResult,bae_garg_2019,,,,,,,,
42,Medications to treat obesity do not have side effects.,Medications to treat obesity do not have side effects.,104,FailedAttackResult,bae_garg_2019,,,,,,,,
47,Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,98,FailedAttackResult,bae_garg_2019,,,,,,,,
50,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,135,FailedAttackResult,bae_garg_2019,,,,,,,,
56,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,68,FailedAttackResult,bae_garg_2019,,,,,,,,
72,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,72,FailedAttackResult,bae_garg_2019,,,,,,,,
74,There was an estimated 30 million cases of pneumonia in young children worldwide in 2010.,There was an estimated 30 million cases of pneumonia in young children worldwide in 2010.,98,FailedAttackResult,bae_garg_2019,,,,,,,,
84,All hematopoietic stem cells segregate their chromosomes randomly.,All hematopoietic stem cells segregate their chromosomes randomly.,228,FailedAttackResult,bae_garg_2019,,,,,,,,
94,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,299,FailedAttackResult,bae_garg_2019,,,,,,,,
98,Incidence of heart failure decreased by 10% in women since 1979.,Incidence of heart failure decreased by 10% in women since 1979.,210,FailedAttackResult,bae_garg_2019,,,,,,,,
101,LDL cholesterol has no involvement in the development of cardiovascular disease.,LDL cholesterol has no involvement in the development of cardiovascular disease.,154,FailedAttackResult,bae_garg_2019,,,,,,,,
0,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,76-85% of people with severe mental disorder receiving no treatment in low and middle income countries.,53,SuccessfulAttackResult,bae_garg_2019,1,2,,,,,3,2
1,ART has no effect on the infectiveness of HIV-positive people.,ART has no monopoly on the infectiveness of HIV-positive people.,60,SuccessfulAttackResult,bae_garg_2019,0,,2,1,1,5,,
2,Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,Ambulatory blood pressure monitoring is accurate at diagnosing hypertension.,38,SuccessfulAttackResult,bae_garg_2019,0,,3,1,1,6,,
3,Antidepressants increase the severity of migraines.,Antidepressants affect the severity of migraines.,53,SuccessfulAttackResult,bae_garg_2019,0,,1,1,1,4,,
