,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
9,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,78,FailedAttackResult,bae_garg_2019,,,,,,,,
17,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,109,FailedAttackResult,bae_garg_2019,,,,,,,,
21,Bariatric surgery reduces postmenopausal breast cancer.,Bariatric surgery reduces postmenopausal breast cancer.,123,FailedAttackResult,bae_garg_2019,,,,,,,,
23,CCL19 is a ligand for CCR7.,CCL19 is a ligand for CCR7.,54,FailedAttackResult,bae_garg_2019,,,,,,,,
24,COPI coatmer is involved in lipid homeostasis.,COPI coatmer is involved in lipid homeostasis.,74,FailedAttackResult,bae_garg_2019,,,,,,,,
26,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,234,FailedAttackResult,bae_garg_2019,,,,,,,,
28,"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.","Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",262,FailedAttackResult,bae_garg_2019,,,,,,,,
37,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,114,FailedAttackResult,bae_garg_2019,,,,,,,,
41,Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,172,FailedAttackResult,bae_garg_2019,,,,,,,,
46,Genomic aberrations of metastases provide information for targeted therapy.,Genomic aberrations of metastases provide information for targeted therapy.,194,FailedAttackResult,bae_garg_2019,,,,,,,,
47,"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.","Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",365,FailedAttackResult,bae_garg_2019,,,,,,,,
57,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,160,FailedAttackResult,bae_garg_2019,,,,,,,,
77,MICAL redox enzymes regulate actin dynamics in many cell types.,MICAL redox enzymes regulate actin dynamics in many cell types.,252,FailedAttackResult,bae_garg_2019,,,,,,,,
78,MICAL redox enzymes regulate actin dynamics.,MICAL redox enzymes regulate actin dynamics.,111,FailedAttackResult,bae_garg_2019,,,,,,,,
99,PTEN is a regulator for the transcriptional activity of SRF,PTEN is a regulator for the transcriptional activity of SRF,133,FailedAttackResult,bae_garg_2019,,,,,,,,
104,Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.,Pioneer factor OCT3/4 interacts with major chromatin remodeling factors.,195,FailedAttackResult,bae_garg_2019,,,,,,,,
107,Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.,Propriospinal interneurons that play a role in the plastic reorganization of spinal circuits are integral for recovery from spinal cord injury.,170,FailedAttackResult,bae_garg_2019,,,,,,,,
108,Pyridostatin induces checkpoint activation.,Pyridostatin induces checkpoint activation.,52,FailedAttackResult,bae_garg_2019,,,,,,,,
110,RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,RANK-RANKL pathway signalling is linked to development of Aire-expressing medullary thymic epithelial cells.,215,FailedAttackResult,bae_garg_2019,,,,,,,,
121,TRAP+ osteoclasts regulate mature osteoblast maintenance.,TRAP+ osteoclasts regulate mature osteoblast maintenance.,99,FailedAttackResult,bae_garg_2019,,,,,,,,
122,Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,31,FailedAttackResult,bae_garg_2019,,,,,,,,
125,The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,The RANK-RANK-Ligand (RANKL) pathway is involved in the development of Aire-expressing medullary thymic epithelial cells (mTECs).,68,FailedAttackResult,bae_garg_2019,,,,,,,,
127,The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,The latent infection of myeloid cells with human cytomegalovirus induces a number of changes in gene expression.,128,FailedAttackResult,bae_garg_2019,,,,,,,,
128,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,75,FailedAttackResult,bae_garg_2019,,,,,,,,
131,The proliferative capacity of neural progenitors differs across species.,The proliferative capacity of neural progenitors differs across species.,233,FailedAttackResult,bae_garg_2019,,,,,,,,
139,Transplanted human glial progenitor cells can mature in their host animal.,Transplanted human glial progenitor cells can mature in their host animal.,228,FailedAttackResult,bae_garg_2019,,,,,,,,
144,Varying expression levels of EBI2 affect the positioning and migration of B cells.,Varying expression levels of EBI2 affect the positioning and migration of B cells.,313,FailedAttackResult,bae_garg_2019,,,,,,,,
159,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,Cytochrome c is released from the mitochondrial intermembrane space to cytosol during apoptosis.,267,FailedAttackResult,bae_garg_2019,,,,,,,,
168,Glycolysis is one of the primary glycometabolic pathways in cells.,Glycolysis is one of the primary glycometabolic pathways in cells.,113,FailedAttackResult,bae_garg_2019,,,,,,,,
178,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,MicroRNA is involved in the regulation of Neural Stem Cell (NSC) differentiation and proliferation dynamic homeostasis,88,FailedAttackResult,bae_garg_2019,,,,,,,,
181,NR5A2 is important in development of endometrial tissues.,NR5A2 is important in development of endometrial tissues.,103,FailedAttackResult,bae_garg_2019,,,,,,,,
182,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,Nanoparticles can be targeted against specific cell types by incorporating aptamers into lipid nanoparticles.,287,FailedAttackResult,bae_garg_2019,,,,,,,,
