,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
1,ART has no effect on the infectiveness of HIV-positive people.,ART has no effect on the infectiveness of HIV-positive people.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,
12,Bone marrow cells don't contribute to adult macrophage compartments.,Bone marrow cells don't contribute to adult macrophage compartments.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,
14,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,48,FailedAttackResult,bert_attack_li_2020,,,,,,,,
17,Consumption of whole fruits increases the risk of type 2 diabetes.,Consumption of whole fruits increases the risk of type 2 diabetes.,36,FailedAttackResult,bert_attack_li_2020,,,,,,,,
20,Deltex has no known interactions with eIF3f.,Deltex has no known interactions with eIF3f.,22,FailedAttackResult,bert_attack_li_2020,,,,,,,,
22,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,63,FailedAttackResult,bert_attack_li_2020,,,,,,,,
24,Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,39,FailedAttackResult,bert_attack_li_2020,,,,,,,,
33,General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,56,FailedAttackResult,bert_attack_li_2020,,,,,,,,
35,HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,49,FailedAttackResult,bert_attack_li_2020,,,,,,,,
36,Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,39,FailedAttackResult,bert_attack_li_2020,,,,,,,,
37,Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,47,FailedAttackResult,bert_attack_li_2020,,,,,,,,
40,MafA phosphorylation enhances its ubiquitination.,MafA phosphorylation enhances its ubiquitination.,19,FailedAttackResult,bert_attack_li_2020,,,,,,,,
41,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,70,FailedAttackResult,bert_attack_li_2020,,,,,,,,
42,Medications to treat obesity do not have side effects.,Medications to treat obesity do not have side effects.,24,FailedAttackResult,bert_attack_li_2020,,,,,,,,
47,Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,49,FailedAttackResult,bert_attack_li_2020,,,,,,,,
48,Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.,Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.,49,FailedAttackResult,bert_attack_li_2020,,,,,,,,
50,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,46,FailedAttackResult,bert_attack_li_2020,,,,,,,,
54,Pioglitazone use is not associated with an increased risk of prostate cancer.,Pioglitazone use is not associated with an increased risk of prostate cancer.,34,FailedAttackResult,bert_attack_li_2020,,,,,,,,
56,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,53,FailedAttackResult,bert_attack_li_2020,,,,,,,,
59,Sepsis related mortality has remained stable between 2009-2014.,Sepsis related mortality has remained stable between 2009-2014.,27,FailedAttackResult,bert_attack_li_2020,,,,,,,,
61,Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,58,FailedAttackResult,bert_attack_li_2020,,,,,,,,
63,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,63,FailedAttackResult,bert_attack_li_2020,,,,,,,,
64,Sympathetic nerve activity is reduced throughout normal pregnancy.,Sympathetic nerve activity is reduced throughout normal pregnancy.,27,FailedAttackResult,bert_attack_li_2020,,,,,,,,
65,Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED),Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED),56,FailedAttackResult,bert_attack_li_2020,,,,,,,,
66,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,36,FailedAttackResult,bert_attack_li_2020,,,,,,,,
68,The combination of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.,The combination of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.,58,FailedAttackResult,bert_attack_li_2020,,,,,,,,
72,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,51,FailedAttackResult,bert_attack_li_2020,,,,,,,,
73,There is no relation between Erythromycin use and hypertrophic pyloric stenosis.,There is no relation between Erythromycin use and hypertrophic pyloric stenosis.,33,FailedAttackResult,bert_attack_li_2020,,,,,,,,
74,There was an estimated 30 million cases of pneumonia in young children worldwide in 2010.,There was an estimated 30 million cases of pneumonia in young children worldwide in 2010.,44,FailedAttackResult,bert_attack_li_2020,,,,,,,,
75,Tuberculosis incidence occurs at higher rates in more sparsely populated areas in the UK.,Tuberculosis incidence occurs at higher rates in more sparsely populated areas in the UK.,42,FailedAttackResult,bert_attack_li_2020,,,,,,,,
78,Women with a lower birth weight are more likely to develop breast cancer later in life.,Women with a lower birth weight are more likely to develop breast cancer later in life.,44,FailedAttackResult,bert_attack_li_2020,,,,,,,,
79,siRNA knockdown of A20 accelerates tumor progression in an in vivo murine xenograft model.,siRNA knockdown of A20 accelerates tumor progression in an in vivo murine xenograft model.,48,FailedAttackResult,bert_attack_li_2020,,,,,,,,
82,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,40,FailedAttackResult,bert_attack_li_2020,,,,,,,,
84,All hematopoietic stem cells segregate their chromosomes randomly.,All hematopoietic stem cells segregate their chromosomes randomly.,30,FailedAttackResult,bert_attack_li_2020,,,,,,,,
89,Breast cancer development is determined exclusively by genetic factors.,Breast cancer development is determined exclusively by genetic factors.,29,FailedAttackResult,bert_attack_li_2020,,,,,,,,
90,CHEK2 is not associated with breast cancer.,CHEK2 is not associated with breast cancer.,20,FailedAttackResult,bert_attack_li_2020,,,,,,,,
94,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,45,FailedAttackResult,bert_attack_li_2020,,,,,,,,
96,Headaches are not correlated with cognitive impairment.,Headaches are not correlated with cognitive impairment.,21,FailedAttackResult,bert_attack_li_2020,,,,,,,,
98,Incidence of heart failure decreased by 10% in women since 1979.,Incidence of heart failure decreased by 10% in women since 1979.,32,FailedAttackResult,bert_attack_li_2020,,,,,,,,
101,LDL cholesterol has no involvement in the development of cardiovascular disease.,LDL cholesterol has no involvement in the development of cardiovascular disease.,31,FailedAttackResult,bert_attack_li_2020,,,,,,,,
104,Macrolides have no protective effect against myocardial infarction.,Macrolides have no protective effect against myocardial infarction.,27,FailedAttackResult,bert_attack_li_2020,,,,,,,,
107,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,52,FailedAttackResult,bert_attack_li_2020,,,,,,,,
111,Suboptimal nutrition is not predictive of chronic disease,Suboptimal nutrition is not predictive of chronic disease,23,FailedAttackResult,bert_attack_li_2020,,,,,,,,
112,The risk of male prisoners harming themselves is ten times that of female prisoners.,The risk of male prisoners harming themselves is ten times that of female prisoners.,42,FailedAttackResult,bert_attack_li_2020,,,,,,,,
115,Tirasemtiv has no effect on fast-twitch muscle.,Tirasemtiv has no effect on fast-twitch muscle.,21,FailedAttackResult,bert_attack_li_2020,,,,,,,,
116,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,Transplanted human glial progenitor cells are incapable of forming a neural network with host animals' neurons.,54,FailedAttackResult,bert_attack_li_2020,,,,,,,,
0,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,.-80% of people with severe mental disorder receive no treatment in low and middle income countries.,21,SuccessfulAttackResult,bert_attack_li_2020,0,,3,1,5,"(2, 5)",,
