,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom,
1,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,40,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
2,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,47,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
6,Active caspase-11 protein promotes pyroptosis.,Active caspase-11 protein promotes pyroptosis.,19,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
9,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,26,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
10,Amitriptyline is an effective treatment for chronic tension-type headaches.,Amitriptyline is an effective treatment for chronic tension-type headaches.,28,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
11,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,50,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
15,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,36,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
16,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,54,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
17,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,48,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
20,Bariatric surgery reduces colorectal cancer.,Bariatric surgery reduces colorectal cancer.,19,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
22,Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,41,FailedAttackResult,bert_attack_li_2020,,,,,,,,,
