,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
0,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
1,ART has no effect on the infectiveness of HIV-positive people.,ART has no effect on the infectiveness of HIV-positive people.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
2,Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
3,Antidepressants increase the severity of migraines.,Antidepressants increase the severity of migraines.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
4,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
5,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
6,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
7,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
8,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
9,BCL-2 promotes the apoptotic effects of c-Myc.,BCL-2 promotes the apoptotic effects of c-Myc.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
10,Bariatric surgery increases rates of colorectal cancer.,Bariatric surgery increases rates of colorectal cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
11,Birth-weight is negatively associated with breast cancer.,Birth-weight is negatively associated with breast cancer.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
12,Bone marrow cells don't contribute to adult macrophage compartments.,Bone marrow cells do not contribute to adult macrophage compartments.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
13,Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
14,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 18 to 28.,9,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
15,Cognitive behavioral therapy is an ineffective treatment for insomnia,Cognitive behavioral therapy is an ineffective treatment for insomnia,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
16,Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,Commelina yellow mottle virus' (ComYMV) genome consists of 3585 baise pairs.,4,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
17,Consumption of whole fruits increases the risk of type 2 diabetes.,Consumption of whole fruits increases the risk of type 2 diabetes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
18,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on cRCT data lack external validity.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
19,DUSP4 decreases apoptosis.,DUSP4 decreases apoptosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
20,Deltex has no known interactions with eIF3f.,Deltex has no known interactions with eIF3f.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
21,Dexamethasone increases risk of postoperative bleeding.,Dexamethasone increases risk of postoperative bleeding.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
22,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
23,Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
24,Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
25,Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
26,Enhanced early production of inflammatory chemokines damages viral control in the lung.,Enhanced early production of inflammatory chemokines damages viral control in the lung.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
27,Exercise increases cancer mortality rates among Chinese citizens.,Exercise increases cancer mortality rates among Chinese citizens.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
28,Exercise reduces cancer mortality rates among Chinese citizens.,Exercise reduces cancer mortality rates among Chinese citizens.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
29,Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
30,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
31,Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
32,Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
33,General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
34,Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
35,HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
36,Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,Incidence of 19/25 dementia is lower than the incidence of DSM-IV dementia.,10,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
37,Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,Including pharmacists in rounding teams doesn't alter the incidence of adverse drug events (ADEs).,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
38,Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
39,Integrated care is ineffective at tackling multiple comorbidities.,Integrated care is ineffective at tackling multiple comorbidities.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
40,MafA phosphorylation enhances its ubiquitination.,MafA phosphorylation enhances its ubiquitination.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
41,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
42,Medications to treat obesity do not have side effects.,Medications to treat obesity don't have side effects.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
43,Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
44,Mitochondria play a trivial role in calcium homeostasis.,Mitochondria play a trivial role in calcium homeostasis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
45,Monoclonal antibody targeting of N-cadherin encourages metastasis.,Monoclonal antibody targeting of N-cadherin encourages metastasis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
46,Natriuretic peptides increase susceptibility to diabetes.,Natriuretic peptides increase susceptibility to diabetes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
47,Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,Nonhypertensive people who are 26 years old have a 122% chance of developing hypertension during their lifetime.,10,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
48,Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.,Noninvasive positive pressure ventilation isn't predictive of acute respiratory failure after solid organ transplantation.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
49,Nonsteroidal antinflammatory drugs are ineffective as cancer treatments.,Nonsteroidal antinflammatory drugs are ineffective as cancer treatments.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
50,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
51,Patients with common epithelial cancers are less likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,Patients with common epithelial cancers are less likely to have an emergency event as their first hospital admission if they live in resource-deprived areas.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
52,Pharmacist attendance at ward rounds increases adverse events in wards.,Pharmacist attendance at ward rounds increases adverse events in wards.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
53,Physical activity does not improve cognitive function in individuals with Alzheimers.,Physical activity doesn't improve cognitive function in individuals with Alzheimers.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
54,Pioglitazone use is not associated with an increased risk of prostate cancer.,Pioglitazone use isn't associated with an increased risk of prostate cancer.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
55,Primary cervical cancer screening with HPV detection has lower longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,Primary cervical cancer screening with HPV detection has lower longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
56,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
57,Risedronate increases risk of vertebral and non-vertebral fractures.,Risedronate increases risk of vertebral and non-vertebral fractures.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
58,Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.,Risk-adjusted mortality rates are similar in teaching and non-teaching hospitals.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
59,Sepsis related mortality has remained stable between 2009-2014.,Sepsis related mortality has remained stable between 2009-2014.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
61,Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,Sildenafil worsens erectile function in men who experience sexual dysfunction as a result of the use of SSRI antidepressants.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
62,Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.,Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
63,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,Students who perform poorly in the early years of medical school are less likely to commit professional misconduct later in their careers.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
64,Sympathetic nerve activity is reduced throughout normal pregnancy.,Sympathetic nerve activity is reduced throughout normal pregnancy.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
65,Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED),Systemic immunosuppressive (IS) therapy increases the chance of cancer mortality in patients with inflammatory eye disease (IED),1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
66,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,The DESMOND program demonstrates no significant impact on lifestyles outcomes.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
67,The DESMOND program demonstrates no significant impact on weight loss.,The DESMOND program demonstrates no significant impact on weight loss.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
68,The combination of physical examinations with C-reactive protein values do not improve the accuracy of radiographic verified pneumonia predictions.,The combination of physical examinations with C-reactive protein values don't improve the accuracy of radiographic verified pneumonia predictions.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
69,The mean suicide rate in women is lower after miscarriage than live birth.,The mean suicide rate in women is lower after miscarriage than live birth.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
70,The minor G allele of FOXO3 is related to less severe symptoms of Crohn's Disease.,The minor G allele of FOXO3 is related to less severe symptoms of Crohn's Disease.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
71,There is no increased risk of hypospadias with clomiphene.,There is no increased risk of hypospadias with clomiphene.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,
