,org_claim,gen_claim,num_of_query,attack_result,attack_method,,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
0,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
1,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
2,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,A diminished ovarian reserve doesn't solely indicate infertility in an a priori non-infertile population.,2,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
3,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
4,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
5,ART substantially reduces infectiveness of HIV-positive people.,ART substantially reduces infectiveness of HIV-positive people.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
6,Active caspase-11 protein promotes pyroptosis.,Active caspase-11 protein promotes pyroptosis.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
7,Adult tissue-resident macrophages are seeded before birth.,Adult tissue-resident macrophages are seeded before birth.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
8,Adult tissue-resident macrophages possess a self-renewing capacity.,Adult tissue-resident macrophages possess a self-renewing capacity.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
9,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,Aggravated inflammation is dependent on NLRP3 inflammasome activation.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
10,Amitriptyline is an effective treatment for chronic tension-type headaches.,Amitriptyline is an effective treatment for chronic tension-type headaches.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
11,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
12,Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
13,Anthrax spores remain deadly until affected areas are decontaminated.,Anthrax spores remain deadly until affected areas are decontaminated.,1,FailedAttackResult,checklist_ribeiro_2020,,,,,,,,,
