,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom,
2,Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,179,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
16,Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,89,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
17,Consumption of whole fruits increases the risk of type 2 diabetes.,Consumption of whole fruits increases the risk of type 2 diabetes.,206,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
20,Deltex has no known interactions with eIF3f.,Deltex has no known interactions with eIF3f.,63,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
22,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,339,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
24,Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,193,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
30,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,192,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
31,Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,91,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
32,Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,222,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
34,Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,150,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
36,Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,169,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
41,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,244,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
47,Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,Nonhypertensive people who are 55 years old have a 90% chance of developing hypertension during their lifetime.,195,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
48,Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.,Noninvasive positive pressure ventilation is not predictive of acute respiratory failure after solid organ transplantation.,226,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
50,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,Patients in stable partnerships progress from HIV to death at the same rate as patients not in partnerships.,270,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
52,Pharmacist attendance at ward rounds increases adverse events in wards.,Pharmacist attendance at ward rounds increases adverse events in wards.,253,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
55,Primary cervical cancer screening with HPV detection has lower longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,Primary cervical cancer screening with HPV detection has lower longitudinal sensitivity than conventional cytology to detect cervical intraepithelial neoplasia grade 2.,353,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
56,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,RANK-RANKL pathway signalling has no known association with development of Aire-expressing medullary thymic epithelial cells.,221,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
62,Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.,Stroke patients with prior use of direct oral anticoagulants have a higher risk of in-hospital mortality than stroke patients with prior use of warfarin.,326,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
64,Sympathetic nerve activity is reduced throughout normal pregnancy.,Sympathetic nerve activity is reduced throughout normal pregnancy.,214,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
72,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,There is no known interaction between Pioneer factor OCT3/4 and major chromatin remodeling factors.,197,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
75,Tuberculosis incidence occurs at higher rates in more sparsely populated areas in the UK.,Tuberculosis incidence occurs at higher rates in more sparsely populated areas in the UK.,248,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
84,All hematopoietic stem cells segregate their chromosomes randomly.,All hematopoietic stem cells segregate their chromosomes randomly.,77,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
94,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,Commelina yellow mottle virus' (ComYMV) genome consists of 7489 baise pairs.,89,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
98,Incidence of heart failure decreased by 10% in women since 1979.,Incidence of heart failure decreased by 10% in women since 1979.,205,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
101,LDL cholesterol has no involvement in the development of cardiovascular disease.,LDL cholesterol has no involvement in the development of cardiovascular disease.,199,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
102,Leuko-increased blood increases infectious complications in red blood cell transfusion.,Leuko-increased blood increases infectious complications in red blood cell transfusion.,194,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
103,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,Ly6C hi monocytes have a lower inflammatory capacity than Ly6C lo monocytes.,178,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
104,Macrolides have no protective effect against myocardial infarction.,Macrolides have no protective effect against myocardial infarction.,129,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
106,Mitochondria are uninvolved in apoptosis.,Mitochondria are uninvolved in apoptosis.,16,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
107,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,New drugs for tuberculosis often do not penetrate the necrotic portion of a tuberculosis lesion in high concentrations.,310,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
112,The risk of male prisoners harming themselves is ten times that of female prisoners.,The risk of male prisoners harming themselves is ten times that of female prisoners.,243,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
115,Tirasemtiv has no effect on fast-twitch muscle.,Tirasemtiv has no effect on fast-twitch muscle.,73,FailedAttackResult,TextFoolerJin2019,,,,,,,,,
0,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,76-85% of people with severe mental disorder receiving no treatment in low and middle income countries.,62,SuccessfulAttackResult,TextFoolerJin2019,1,2,,,,,3,2,
1,ART has no effect on the infectiveness of HIV-positive people.,KIND has no effect on the infectiveness of HIV-positive people.,22,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,2,5,,,
3,Antidepressants increase the severity of migraines.,Ambien increase the severity of migraines.,30,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,2,4,,,
4,Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,Antimicrobial agents are less effective due to the insist of antimicrobial usage.,41,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
5,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial retainers are more effective due to the pressure of antimicrobial usage.,55,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
6,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,Antiretroviral therapy augment rates of tuberculosis across a broad range of CD4 strata.,63,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,3,3,
7,Autophagy deficiency in the liver increases vulnerability to insulin resistance.,Autophagy deficiency in the liver growing vulnerability to insulin resistance.,59,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
8,BCL-2 activation antagonizes the apoptotic effects of c-Myc.,BCL-2 activated antagonizes the apoptotic effects of c-Myc.,33,SuccessfulAttackResult,TextFoolerJin2019,1,2,,,,,3,2,*
9,BCL-2 promotes the apoptotic effects of c-Myc.,BCL-2 promotes the apoptotic afflict of c-Myc.,43,SuccessfulAttackResult,TextFoolerJin2019,0,,2,"(1, 2)",1,"(2, 5)",,,
10,Bariatric surgery increases rates of colorectal cancer.,Bariatric surgery augmentation rates of colorectal cancer.,58,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
11,Birth-weight is negatively associated with breast cancer.,Birth-weight is negatively accompanying with breast cancer.,44,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
12,Bone marrow cells don't contribute to adult macrophage compartments.,Bone marrow cells don't help to adult macrophage compartments.,94,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
13,Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,Chenodeoxycholic acid treatment fallen brown adipose tissue activity.,109,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
14,Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,Chlamydia trachomatis is most prevalent in the ANGLIA among sexually-experienced individuals aged 16 to 24.,61,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,3,1,
15,Cognitive behavioral therapy is an ineffective treatment for insomnia,Cognitive behavioral therapy is an inefficient treatment for insomnia,35,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,,
18,Cost effectiveness evaluations based on cRCT data lack external validity.,Costing effectiveness evaluations based on cRCT data lack external validity.,53,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,5,3,2,
19,DUSP4 decreases apoptosis.,DUSP4 abated apoptosis.,52,SuccessfulAttackResult,TextFoolerJin2019,1,2,,,,,3,2,*
21,Dexamethasone increases risk of postoperative bleeding.,Dexamethasone augmentation risk of postoperative bleeding.,57,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
23,Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,Diabetic patients with acute coronary syndrome experience dwindling short-term and long-term risk for bleeding events.,62,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,,
25,Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,Early patent ductus ateriosus (PDA) audited increases in-hospital mortality.,68,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
26,Enhanced early production of inflammatory chemokines damages viral control in the lung.,Grew early production of inflammatory chemokines damages viral control in the lung.,55,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
27,Exercise increases cancer mortality rates among Chinese citizens.,Drill increases cancer mortality rates among Chinese citizens.,40,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
28,Exercise reduces cancer mortality rates among Chinese citizens.,Exercise reduces cancer assassinate rates among Chinese citizens.,74,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
29,Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,Exposure to fine particulate air pollution is offline to anxiety prevalence.,27,SuccessfulAttackResult,TextFoolerJin2019,0,,1,2,1,2,,,
33,General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,Generals exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,44,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,
35,HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,HbA1c consistently overestimates glycemic control in black beings with Sickle cell trait (SCT).,142,SuccessfulAttackResult,TextFoolerJin2019,0,,2,1,1,5,,,*
37,Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,Including pharmacology in rounding teams does not alter the incidence of adverse drug events (ADEs).,84,SuccessfulAttackResult,TextFoolerJin2019,0,,1,1,1,4,,,
