,org_claim,gen_claim,num_of_query,attack_result,attack_method,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
4,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,186,FailedAttackResult,TextFoolerJin2019,,,,,,,,
8,Adult tissue-resident macrophages possess a self-renewing capacity.,Adult tissue-resident macrophages possess a self-renewing capacity.,75,FailedAttackResult,TextFoolerJin2019,,,,,,,,
11,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,162,FailedAttackResult,TextFoolerJin2019,,,,,,,,
15,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,Asymptomatic visual impairment screening in elderly populations leads to improved vision.,298,FailedAttackResult,TextFoolerJin2019,,,,,,,,
16,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,258,FailedAttackResult,TextFoolerJin2019,,,,,,,,
17,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,240,FailedAttackResult,TextFoolerJin2019,,,,,,,,
18,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,181,FailedAttackResult,TextFoolerJin2019,,,,,,,,
22,Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,191,FailedAttackResult,TextFoolerJin2019,,,,,,,,
23,CCL19 is a ligand for CCR7.,CCL19 is a ligand for CCR7.,7,FailedAttackResult,TextFoolerJin2019,,,,,,,,
24,COPI coatmer is involved in lipid homeostasis.,COPI coatmer is involved in lipid homeostasis.,56,FailedAttackResult,TextFoolerJin2019,,,,,,,,
25,Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,73,FailedAttackResult,TextFoolerJin2019,,,,,,,,
26,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,301,FailedAttackResult,TextFoolerJin2019,,,,,,,,
27,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,308,FailedAttackResult,TextFoolerJin2019,,,,,,,,
28,"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.","Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",227,FailedAttackResult,TextFoolerJin2019,,,,,,,,
31,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,114,FailedAttackResult,TextFoolerJin2019,,,,,,,,
33,Egr2 regulates the homeostasis of B and T cells.,Egr2 regulates the homeostasis of B and T cells.,76,FailedAttackResult,TextFoolerJin2019,,,,,,,,
34,Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,175,FailedAttackResult,TextFoolerJin2019,,,,,,,,
37,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,166,FailedAttackResult,TextFoolerJin2019,,,,,,,,
40,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,75,FailedAttackResult,TextFoolerJin2019,,,,,,,,
46,Genomic aberrations of metastases provide information for targeted therapy.,Genomic aberrations of metastases provide information for targeted therapy.,170,FailedAttackResult,TextFoolerJin2019,,,,,,,,
