,org_claim,gen_claim,fine_tune_direction,no_of_df_used_for_fine_tuned,success_type,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom
15158,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the pressure of antimicrobial use, antibacterial agents are more effective.",org_refute_to_gen_support,0,org_refute_gen_support,0,,1,1,"(3, 1)",4,,
15161,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Because of the pressure of antimicrobial use, you can improve your effectiveness against them.",org_refute_to_gen_support,0,org_refute_gen_support,0,,2,1,3,4,,
15213,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to negative outcomes in mental health.,org_refute_to_gen_support,0,org_support_gen_refute,1,2,,,,,7,2
15302,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness analyses based on cRCT data lack external validity.,org_refute_to_gen_support,0,org_refute_gen_support,1,1,,,,,3,
16291,Bariatric surgery has a positive impact on mental health.,The bariatric procedure is able to have viewed mental health positively,org_refute_to_gen_support,0,org_refute_gen_support,0,,2,2,"(3, 1)",5,,
16292,Bariatric surgery has a positive impact on mental health.,Bariatric surgery has resonate in mental health.,org_refute_to_gen_support,0,org_refute_gen_support,0,,2,2,1,"(2, 5)",,
16782,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobials are more effective due to the anti-microb application pressure.,org_refute_to_gen_support,1,org_refute_gen_support,0,,1,1,1,,,
16784,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,Antimicrobial agents are more effective due to the use of antibacterial agents.,org_refute_to_gen_support,1,org_refute_gen_support,0,,1,1,1,4,,
16835,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads negative outcomes in mental health.,org_refute_to_gen_support,1,org_support_gen_refute,1,2,,,,,7,2
16928,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on data from cRCT lack external validity.,org_refute_to_gen_support,1,org_refute_gen_support,1,1,,,,,7,
17582,Students who perform poorly in the early years of medical school are at increased risk for professional misconduct later in their careers.,Students who are preparing for medical school in poorly graduated areas are more likely to engage in their professional conduct later in life.,org_refute_to_gen_support,1,org_support_gen_refute,0,,3,1,"(7, 8)",5,,
17913,Bariatric surgery has a positive impact on mental health.,A bariatric surgery has favourable impact on mental health.,org_refute_to_gen_support,1,org_refute_gen_support,1,1,,,,,"(3, 7)",
18152,Non-invasive ventilation use should be decreased if there is inadequate response to conventional treatment.,The need for non-invasive ventilation must be reduced if there is an inadequate response to conventional treatment.,org_refute_to_gen_support,1,org_refute_gen_support,0,,1,1,"(7, 8)",4,,
41893,Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,"Due to the need of antibacterial products, they are more effective.",org_refute_to_gen_support,2,org_refute_gen_support,0,,1,1,"(3, 8)",4,,
42043,Cost effectiveness evaluations based on cRCT data lack external validity.,Cost effectiveness evaluations based on the data of CRCT lack external validity.,org_refute_to_gen_support,2,org_refute_gen_support,0,,1,1,"(2, 8)",4,,
