,org_claim,gen_claim,Accept,QualAcc,QualRej,ReasonRej,RejChange,RejProb,CorrChange,CorrectCom,
0,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to the negative outcomes in mental health.,0,,1,2,6,7,,,
10,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners harming themselves is ten times higher than the male counterparts.,1,2,,,,,8,,
55,Bariatric surgery leads to negative outcomes in mental health.,. Bariatric surgery produces negative results in psychological health,0,,2,2,3,2,,,
56,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to negative outcomes for mental health.,1,2,,,,,7,2,
98,Bariatric surgery leads to negative outcomes in mental health.,Surgical bariatric surgery leads to negative outcomes in mental health.,0,,1,1,6,5,,,
102,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners committing suicide is ten times the level of males.,0,,1,1,8,4,,,
138,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to negative outcomes in mental health.,1,2,,,,,7,2,
150,The risk of female prisoners harming themselves is ten times that of male prisoners.,The chance of female prisoners harming themselves is 10 times higher than male prisoners.,1,1,,,,,"(3, 8)",,
217,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to negative mental health outcomes,1,2,,,,,"(7, 8)",2,
275,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of arousing themselves is ten times greater than it had been with male prisoners.,0,,2,1,8,4,,,
318,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to negative outcomes in mental health,1,3,,,,,7,"(2, 4)",
405,Bariatric surgery leads to negative outcomes in mental health.,The bariatric operation leads to negative psychological outcomes.,1,1,,,,,"(3, 7, 8)",,
449,Bariatric surgery leads to negative outcomes in mental health.,#NAME?,0,,3,2,6,2,,,
450,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to negative outcomes in the mental health.,0,,1,2,6,7,,,
451,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative outcomes with mental health.,1,1,,,,,3,,
452,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to poor outcomes in mental health.,1,1,,,,,3,,
486,Bariatric surgery leads to negative outcomes in mental health.,The bariatric surgery leads to bad outcomes in mental health.,1,2,,,,,7,2,
487,Bariatric surgery leads to negative outcomes in mental health., Bariatric surgery leads to negative outcomes in mental health.,1,2,,,,,7,2,*
488,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative outcomes in psychological health.,1,1,,,,,3,,
534,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery instigates negative outcomes in mental health.,1,2,,,,,3,1,
535,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to negative outcomes in mental health disorders.,0,,2,1,6,4,,,
588,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to poor mental health outcomes.,1,1,,,,,"(3, 8)",,
638,Bariatric surgery leads to negative outcomes in mental health.,"Bariatric surgery, on the other hand, leads to negative outcomes in mental health.",1,2,,,,,7,2,
678,Bariatric surgery leads to negative outcomes in mental health.,Bariatric surgery leads to adverse outcomes in mental health.,1,1,,,,,3,*,
679,Bariatric surgery leads to negative outcomes in mental health.,Cardiothequerical surgery leads to negative outcomes in the mental health.,0,,3,1,2,5,,,
686,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female and male prisoners harming themselves is ten times that.,0,,2,"(1, 2)",3,5,,,
687,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners threatening themselves is ten times that for males.,0,,1,1,8,4,,,
731,Bariatric surgery leads to negative outcomes in mental health.,Surgical intervention in the bariatrics leads to negative outcomes in mental health.,0,,1,2,8,5,,,
819,Bariatric surgery leads to negative outcomes in mental health., bariatric surgery leads to negative outcomes in mental health.,1,3,,,,,7,2,
919,The risk of female prisoners harming themselves is ten times that of male prisoners.,The risk of female prisoners attacking themselves ten times is the male one.,0,,2,1,"(1, 3)",5,,,
